"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestDisenrollMFA_Admin_FailureIncorrectPassword","3783","TestDisenrollMFA_Admin_FailureIncorrectPassword","","Thu Jul 09 18:47:33 UTC 2026","passed","Thu Jul 09 18:47:37 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestDisenrollMFA_Admin_FailureIncorrectPassword","TestDisenrollMFA_Admin_FailureIncorrectPassword"
"Test cases for TestInt64Pointer","0","TestInt64Pointer","","Thu Jul 09 18:46:57 UTC 2026","passed","Thu Jul 09 18:46:57 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64Pointer","TestInt64Pointer"
"Test cases for TestValidateRequestSignature","213","TestValidateRequestSignature","","Thu Jul 09 18:46:41 UTC 2026","passed","Thu Jul 09 18:46:41 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestValidateRequestSignature","TestValidateRequestSignature"
"Test cases for TestFormatDatabaseError","0","TestFormatDatabaseError","","Thu Jul 09 18:46:41 UTC 2026","passed","Thu Jul 09 18:46:41 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestFormatDatabaseError","TestFormatDatabaseError"
"","75","should render when search string is at the beginning of the text","HighlightedText","Thu Jul 09 18:52:12 UTC 2026","passed","Thu Jul 09 18:52:12 UTC 2026","","","",""
"","117","upon selecting a source node, updates the URL with a searchType of 'node' and primarySearch of the node's objectid","useNodeSearch","Thu Jul 09 18:52:03 UTC 2026","passed","Thu Jul 09 18:52:03 UTC 2026","","","",""
"Test cases for Test_NewSpec","0","Test_NewSpec","","Thu Jul 09 18:47:22 UTC 2026","passed","Thu Jul 09 18:47:22 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/lab/Test_NewSpec","Test_NewSpec"
"","133","should not display a badge when role based filtering is true and show filter banner is false by default","EntityInfoPanel","Thu Jul 09 18:52:03 UTC 2026","passed","Thu Jul 09 18:52:03 UTC 2026","","","",""
"","31","enables the upload button when the user has manage ingest permission","File Upload","Thu Jul 09 18:50:05 UTC 2026","passed","Thu Jul 09 18:50:05 UTC 2026","","","",""
"Test cases for TestRequestWaitDuration","0","TestRequestWaitDuration","","Thu Jul 09 18:46:44 UTC 2026","passed","Thu Jul 09 18:46:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestRequestWaitDuration","TestRequestWaitDuration"
"","480","navigates to object details when clicking an object row","ObjectsAccordion","Thu Jul 09 18:50:57 UTC 2026","passed","Thu Jul 09 18:50:57 UTC 2026","","","",""
"","1","runs a cypher search when the query param is set to ""cypher""","useExploreGraph","Thu Jul 09 18:49:05 UTC 2026","passed","Thu Jul 09 18:49:05 UTC 2026","","exploreGraphQueryFactory","",""
"","104","prevents a user from proceeding if the file is not valid","File Upload","Thu Jul 09 18:50:05 UTC 2026","passed","Thu Jul 09 18:50:05 UTC 2026","","","",""
"Test cases for TestGetOrderForNeo4jQuery","0","TestGetOrderForNeo4jQuery","","Thu Jul 09 18:47:20 UTC 2026","passed","Thu Jul 09 18:47:20 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestGetOrderForNeo4jQuery","TestGetOrderForNeo4jQuery"
"Test cases for TestManagementResource_ListRoles_DBError","0","TestManagementResource_ListRoles_DBError","","Thu Jul 09 18:46:58 UTC 2026","passed","Thu Jul 09 18:46:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListRoles_DBError","TestManagementResource_ListRoles_DBError"
"Test cases for TestRegister_PanicsOnNilGraph","0","TestRegister_PanicsOnNilGraph","","Thu Jul 09 18:47:50 UTC 2026","passed","Thu Jul 09 18:47:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/server/modules/TestRegister_PanicsOnNilGraph","TestRegister_PanicsOnNilGraph"
"","67","returns the full environment for the environmentid passed","useAvailableEnvironments","Thu Jul 09 18:50:27 UTC 2026","passed","Thu Jul 09 18:50:27 UTC 2026","","useSelectedEnvironment","",""
"","1","determines glyphs with the tier_managent_engine feature flag enabled","getNodeGlyphs","Thu Jul 09 18:53:46 UTC 2026","passed","Thu Jul 09 18:53:46 UTC 2026","","","",""
"","0","handles specific Active Directory properties differently than Azure derived properties","Formatting number properties","Thu Jul 09 18:49:44 UTC 2026","passed","Thu Jul 09 18:49:44 UTC 2026","","","",""
"Test cases for TestManagementResource_DeleteSAMLProvider","0","TestManagementResource_DeleteSAMLProvider","","Thu Jul 09 18:46:57 UTC 2026","passed","Thu Jul 09 18:46:57 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteSAMLProvider","TestManagementResource_DeleteSAMLProvider"
"","47","mounts a polite aria-live region","AnnouncementProvider","Thu Jul 09 18:50:49 UTC 2026","passed","Thu Jul 09 18:50:49 UTC 2026","","","",""
"","3317","expand/collapse all buttons are disabled when searching","Pathfinding","Thu Jul 09 18:49:10 UTC 2026","passed","Thu Jul 09 18:49:13 UTC 2026","","","",""
"","60","renders a link to the documentation","BloodHoundConfiguration","Thu Jul 09 18:54:14 UTC 2026","passed","Thu Jul 09 18:54:14 UTC 2026","","","",""
"Test cases for TestResources_DeleteSavedQuery_IsPublicSavedQueryDBError","0","TestResources_DeleteSavedQuery_IsPublicSavedQueryDBError","","Thu Jul 09 18:46:52 UTC 2026","passed","Thu Jul 09 18:46:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQuery_IsPublicSavedQueryDBError","TestResources_DeleteSavedQuery_IsPublicSavedQueryDBError"
"","1721","disables the user actions menu when the user is auditor role","Users","Thu Jul 09 18:49:17 UTC 2026","passed","Thu Jul 09 18:49:18 UTC 2026","","","",""
"","259","allows a user to upload a single file and displays its name in the dialog","SchemaUploadDialog","Thu Jul 09 18:49:03 UTC 2026","passed","Thu Jul 09 18:49:04 UTC 2026","","","",""
