"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","434","displays a validation error","ManagedDatePicker - date validation","Thu Jun 25 00:46:13 UTC 2026","passed","Thu Jun 25 00:46:14 UTC 2026","","","",""
"","15","allows you to cancel filter updates before applying them to the url and reset to the default filter state","usePathfindingFilters","Thu Jun 25 00:47:58 UTC 2026","passed","Thu Jun 25 00:47:59 UTC 2026","","","",""
"","0","Fetching the data timed out","Getting the text for the disabled item display for a search when there are no results","Thu Jun 25 00:47:30 UTC 2026","passed","Thu Jun 25 00:47:30 UTC 2026","","Error states","",""
"","1","should include a tag with only the matching operations when the path matches","opsFilter","Thu Jun 25 00:47:31 UTC 2026","passed","Thu Jun 25 00:47:31 UTC 2026","","","",""
"","65","returns false on 404","useGraphHasData","Thu Jun 25 00:48:00 UTC 2026","passed","Thu Jun 25 00:48:01 UTC 2026","","","",""
"","0","returns undefined if graphData is null or not a GraphResponse","getExploreTableData","Thu Jun 25 00:46:25 UTC 2026","passed","Thu Jun 25 00:46:25 UTC 2026","","","",""
"Test cases for TestDomainSelectors_GetFilterCriteria_Domain","0","TestDomainSelectors_GetFilterCriteria_Domain","","Thu Jun 25 00:42:03 UTC 2026","passed","Thu Jun 25 00:42:03 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestDomainSelectors_GetFilterCriteria_Domain","TestDomainSelectors_GetFilterCriteria_Domain"
"Test cases for TestManagementResource_ListAuthTokens_PredicateMismatchWithColumn","0","TestManagementResource_ListAuthTokens_PredicateMismatchWithColumn","","Thu Jun 25 00:42:27 UTC 2026","passed","Thu Jun 25 00:42:27 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthTokens_PredicateMismatchWithColumn","TestManagementResource_ListAuthTokens_PredicateMismatchWithColumn"
"","82","returns a list of the users current permissions","usePermissions","Thu Jun 25 00:45:27 UTC 2026","passed","Thu Jun 25 00:45:27 UTC 2026","","","",""
"Test cases for TestResources_StartIngestJob","80","TestResources_StartIngestJob","","Thu Jun 25 00:41:58 UTC 2026","passed","Thu Jun 25 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_StartIngestJob","TestResources_StartIngestJob"
"Test cases for Test_SetNodeProperties","0","Test_SetNodeProperties","","Thu Jun 25 00:41:58 UTC 2026","passed","Thu Jun 25 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_SetNodeProperties","Test_SetNodeProperties"
"","357","does fires TagToLabelDialog when the Label option is clicked","TagToZoneLabel","Thu Jun 25 00:43:23 UTC 2026","passed","Thu Jun 25 00:43:23 UTC 2026","","","",""
"","564","toggles a source kind on with all nested graph data options","GraphDataCheckboxes","Thu Jun 25 00:44:32 UTC 2026","passed","Thu Jun 25 00:44:33 UTC 2026","","","",""
