"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestManagementResource_GetUser","20303","TestManagementResource_GetUser","","Tue Jul 21 23:30:03 UTC 2026","passed","Tue Jul 21 23:30:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_GetUser","TestManagementResource_GetUser"
"","569","displays correct content based on platform filter AD","CommonSearches","Tue Jul 21 23:25:33 UTC 2026","passed","Tue Jul 21 23:25:34 UTC 2026","","","",""
"","658","does not allow confirmation while dates are invalid","FileIngestFilterDialog","Tue Jul 21 23:25:11 UTC 2026","passed","Tue Jul 21 23:25:12 UTC 2026","","Date Range Inputs","",""
"Test cases for FuzzFoldlLazy","1","FuzzFoldlLazy","","Tue Jul 21 23:30:04 UTC 2026","passed","Tue Jul 21 23:30:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/FuzzFoldlLazy","FuzzFoldlLazy"
"","10","shows items when all required permissions are granted","useSubNavRoutes","Tue Jul 21 23:26:17 UTC 2026","passed","Tue Jul 21 23:26:17 UTC 2026","","permissions gate","",""
"","164","should fire Cancel once with false","ConfirmationDialog","Tue Jul 21 23:28:51 UTC 2026","passed","Tue Jul 21 23:28:51 UTC 2026","","","",""
"","68","applies accent styling to headers when accent is true","<DetailsAccordion />","Tue Jul 21 23:25:27 UTC 2026","passed","Tue Jul 21 23:25:28 UTC 2026","","","",""
"","76","disables the upload file button when the user does not have the opengraph write permission","SchemaUploadDialog","Tue Jul 21 23:24:49 UTC 2026","passed","Tue Jul 21 23:24:49 UTC 2026","","","",""
"","536","navigates to object details when clicking an object row","ObjectsAccordion","Tue Jul 21 23:27:57 UTC 2026","passed","Tue Jul 21 23:27:58 UTC 2026","","","",""
"Test cases for TestQueries_GetRequestedType","0","TestQueries_GetRequestedType","","Tue Jul 21 23:29:48 UTC 2026","passed","Tue Jul 21 23:29:48 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/TestQueries_GetRequestedType","TestQueries_GetRequestedType"
"","251","displays error if delete button is clicked when no checkbox is selected","DatabaseManagement","Tue Jul 21 23:29:32 UTC 2026","passed","Tue Jul 21 23:29:32 UTC 2026","","","",""
"Test cases for Test_ParseSortParameters","0","Test_ParseSortParameters","","Tue Jul 21 23:29:32 UTC 2026","passed","Tue Jul 21 23:29:32 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/Test_ParseSortParameters","Test_ParseSortParameters"
"","88","hides loading state when data is available","GraphDataCheckboxes","Tue Jul 21 23:24:38 UTC 2026","passed","Tue Jul 21 23:24:38 UTC 2026","","","",""
"Test cases for TestResources_ListADComputerRDPUsers","3","TestResources_ListADComputerRDPUsers","","Tue Jul 21 23:29:42 UTC 2026","passed","Tue Jul 21 23:29:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADComputerRDPUsers","TestResources_ListADComputerRDPUsers"
"Test cases for TestResources_GetAZRelatedEntities","139","TestResources_GetAZRelatedEntities","","Tue Jul 21 23:29:42 UTC 2026","passed","Tue Jul 21 23:29:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAZRelatedEntities","TestResources_GetAZRelatedEntities"
"Test cases for TestGormLogAdapter_Info","0","TestGormLogAdapter_Info","","Tue Jul 21 23:29:45 UTC 2026","passed","Tue Jul 21 23:29:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestGormLogAdapter_Info","TestGormLogAdapter_Info"
"Test cases for TestMarshalFloatText","0","TestMarshalFloatText","","Tue Jul 21 23:29:45 UTC 2026","passed","Tue Jul 21 23:29:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalFloatText","TestMarshalFloatText"
"Test cases for TestUnmarshalString","0","TestUnmarshalString","","Tue Jul 21 23:29:45 UTC 2026","passed","Tue Jul 21 23:29:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalString","TestUnmarshalString"
"Test cases for Test_UseHarness","0","Test_UseHarness","","Tue Jul 21 23:30:02 UTC 2026","passed","Tue Jul 21 23:30:02 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/lab/Test_UseHarness","Test_UseHarness"
"","1264","renders asset group edit options with graph write permissions","ContextMenu","Tue Jul 21 23:29:48 UTC 2026","passed","Tue Jul 21 23:29:49 UTC 2026","","","",""
"","61","is not overwritten when node properties contain an id field","useExploreTableRowsAndColumns","Tue Jul 21 23:28:55 UTC 2026","passed","Tue Jul 21 23:28:55 UTC 2026","","bhGraphId","",""
"Test cases for TestDisenrollMFA_Success","978","TestDisenrollMFA_Success","","Tue Jul 21 23:30:14 UTC 2026","passed","Tue Jul 21 23:30:15 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestDisenrollMFA_Success","TestDisenrollMFA_Success"
"","381","calls openSAMLProviderDialog when SAML Provider menu item is clicked","CreateMenu","Tue Jul 21 23:25:39 UTC 2026","passed","Tue Jul 21 23:25:40 UTC 2026","","oidc_support feature flag enabled","",""
"","58","calls setSelected with correct data on click","NoteCell component","Tue Jul 21 23:27:23 UTC 2026","passed","Tue Jul 21 23:27:23 UTC 2026","","","",""
"Test cases for Test_GetApplicationConfigurations","0","Test_GetApplicationConfigurations","","Tue Jul 21 23:29:42 UTC 2026","passed","Tue Jul 21 23:29:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_GetApplicationConfigurations","Test_GetApplicationConfigurations"
"Test cases for TestDomainSelectors_TestIsSortable","0","TestDomainSelectors_TestIsSortable","","Tue Jul 21 23:29:46 UTC 2026","passed","Tue Jul 21 23:29:46 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestDomainSelectors_TestIsSortable","TestDomainSelectors_TestIsSortable"
"","217","should display ""Disable Multi-Factor Authentication?"" title","Enable2FADialog","Tue Jul 21 23:27:32 UTC 2026","passed","Tue Jul 21 23:27:32 UTC 2026","","","",""
"","3123","resets skip to 0 when filters change so rows are visible on the new result set","FileIngestTable","Tue Jul 21 23:24:28 UTC 2026","passed","Tue Jul 21 23:24:31 UTC 2026","","pagination reset","",""
"","421","should render","LoginViaSSOForm","Tue Jul 21 23:27:13 UTC 2026","passed","Tue Jul 21 23:27:14 UTC 2026","","","",""
"","245","includes the platform environment_kind_id in the onSelect payload when an open graph aggregate is clicked","Open Graph platform selection","Tue Jul 21 23:25:01 UTC 2026","passed","Tue Jul 21 23:25:01 UTC 2026","","","",""
"Test cases for TestSIDSuffix_PrependPrefix","0","TestSIDSuffix_PrependPrefix","","Tue Jul 21 23:29:59 UTC 2026","passed","Tue Jul 21 23:29:59 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/wellknown/TestSIDSuffix_PrependPrefix","TestSIDSuffix_PrependPrefix"
"Test cases for TestUnique","0","TestUnique","","Tue Jul 21 23:30:04 UTC 2026","passed","Tue Jul 21 23:30:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/TestUnique","TestUnique"
"Test cases for TestResources_ListAssetGroupMembersCount","0","TestResources_ListAssetGroupMembersCount","","Tue Jul 21 23:29:42 UTC 2026","passed","Tue Jul 21 23:29:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAssetGroupMembersCount","TestResources_ListAssetGroupMembersCount"
"Test cases for Test_ValidateGraph","33","Test_ValidateGraph","","Tue Jul 21 23:29:54 UTC 2026","passed","Tue Jul 21 23:29:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/upload/Test_ValidateGraph","Test_ValidateGraph"
"Test cases for TestResources_ListFileUploadJobs","0","TestResources_ListFileUploadJobs","","Tue Jul 21 23:29:42 UTC 2026","passed","Tue Jul 21 23:29:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListFileUploadJobs","TestResources_ListFileUploadJobs"
"","475","adds a ""Close"" button that closes the dialog after a failed upload","SchemaUploadDialog","Tue Jul 21 23:24:51 UTC 2026","passed","Tue Jul 21 23:24:52 UTC 2026","","","",""
"","81","sorts by title as secondary key when positions are equal","KindInfoItems","Tue Jul 21 23:26:00 UTC 2026","passed","Tue Jul 21 23:26:01 UTC 2026","","","",""
"Test cases for TestParseAGMembersFromNodes_MissingNodeProperties","0","TestParseAGMembersFromNodes_MissingNodeProperties","","Tue Jul 21 23:29:42 UTC 2026","passed","Tue Jul 21 23:29:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestParseAGMembersFromNodes_MissingNodeProperties","TestParseAGMembersFromNodes_MissingNodeProperties"
"Test cases for TestMatches_FailureErrMsg","0","TestMatches_FailureErrMsg","","Tue Jul 21 23:29:46 UTC 2026","passed","Tue Jul 21 23:29:46 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestMatches_FailureErrMsg","TestMatches_FailureErrMsg"
"","879","opens the entity information panel for the auto-selected node","GraphView","Tue Jul 21 23:29:34 UTC 2026","passed","Tue Jul 21 23:29:35 UTC 2026","","","",""
"Test cases for TestResources_PatchDomain","0","TestResources_PatchDomain","","Tue Jul 21 23:29:42 UTC 2026","passed","Tue Jul 21 23:29:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_PatchDomain","TestResources_PatchDomain"
"","52","Should display a list of the asset group members","AssetGroupMemberList","Tue Jul 21 23:28:08 UTC 2026","passed","Tue Jul 21 23:28:08 UTC 2026","","","",""
"","29","should display a badge when role based filtering is true and show filter banner is true","EntityInfoPanel","Tue Jul 21 23:27:57 UTC 2026","passed","Tue Jul 21 23:27:57 UTC 2026","","","",""
"","114","does not show View in Explore if in object rule type","Seed Selection Results","Tue Jul 21 23:25:22 UTC 2026","passed","Tue Jul 21 23:25:23 UTC 2026","","","",""
"","15","should render a Field when the provided value is -0","Field","Tue Jul 21 23:28:20 UTC 2026","passed","Tue Jul 21 23:28:20 UTC 2026","","","",""
"","3194","should open edge filtering dialog","EdgeFilter","Tue Jul 21 23:26:21 UTC 2026","passed","Tue Jul 21 23:26:25 UTC 2026","","","",""
"","421","invalidates the extensions query after a successful upload","SchemaUploadDialog","Tue Jul 21 23:24:52 UTC 2026","passed","Tue Jul 21 23:24:52 UTC 2026","","","",""
"","575","sets exploreSearchTab param to cypher when the user clicks the `cypher` tab","ExploreSearch sets searchType on tab changing","Tue Jul 21 23:29:41 UTC 2026","passed","Tue Jul 21 23:29:42 UTC 2026","","","",""
"Test cases for TestNewService","0","TestNewService","","Tue Jul 21 23:30:16 UTC 2026","passed","Tue Jul 21 23:30:16 UTC 2026","","Go Test","github.com/specterops/bloodhound/server/featureflags/internal/services/TestNewService","TestNewService"
"","78","renders the title passed via title prop","ColumnHeaders","Tue Jul 21 23:26:28 UTC 2026","passed","Tue Jul 21 23:26:28 UTC 2026","","BaseColumnHeader","",""
"","0","returns true if both arrays are empty","areArraysSimilar","Tue Jul 21 23:28:35 UTC 2026","passed","Tue Jul 21 23:28:35 UTC 2026","","","",""
"","975","does not show a warning for using labels associated with tags in label forms (also shows correct View in Explore link)","Rule Form","Tue Jul 21 23:23:32 UTC 2026","passed","Tue Jul 21 23:23:33 UTC 2026","","","",""
"Test cases for TestSaveDataQuality","7","TestSaveDataQuality","","Tue Jul 21 23:29:49 UTC 2026","passed","Tue Jul 21 23:29:49 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/dataquality/TestSaveDataQuality","TestSaveDataQuality"
"Test cases for TestManagementResource_UpdateUser_DBError","1150","TestManagementResource_UpdateUser_DBError","","Tue Jul 21 23:30:02 UTC 2026","passed","Tue Jul 21 23:30:03 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_UpdateUser_DBError","TestManagementResource_UpdateUser_DBError"
"","11","when password is not expired no redirect occurs","AuthenticatedRoute","Tue Jul 21 23:29:59 UTC 2026","passed","Tue Jul 21 23:29:59 UTC 2026","","","",""
"Test cases for TestResources_GetDatabaseCompleteness","101","TestResources_GetDatabaseCompleteness","","Tue Jul 21 23:29:42 UTC 2026","passed","Tue Jul 21 23:29:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetDatabaseCompleteness","TestResources_GetDatabaseCompleteness"
"Test cases for TestManagementResource_SAMLCallbackHandler","12","TestManagementResource_SAMLCallbackHandler","","Tue Jul 21 23:30:23 UTC 2026","passed","Tue Jul 21 23:30:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_SAMLCallbackHandler","TestManagementResource_SAMLCallbackHandler"
"Test cases for TestCache_FillFifo","0","TestCache_FillFifo","","Tue Jul 21 23:30:00 UTC 2026","passed","Tue Jul 21 23:30:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/cache/TestCache_FillFifo","TestCache_FillFifo"
"","573","toggles parent from all to none","GraphDataCheckboxes","Tue Jul 21 23:24:41 UTC 2026","passed","Tue Jul 21 23:24:41 UTC 2026","","","",""
"","4178","categories default to expanded","Pathfinding","Tue Jul 21 23:23:52 UTC 2026","passed","Tue Jul 21 23:23:56 UTC 2026","","","",""
"Test cases for TestDisenrollMFA_Admin_FailureIncorrectPassword","2686","TestDisenrollMFA_Admin_FailureIncorrectPassword","","Tue Jul 21 23:30:19 UTC 2026","passed","Tue Jul 21 23:30:22 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestDisenrollMFA_Admin_FailureIncorrectPassword","TestDisenrollMFA_Admin_FailureIncorrectPassword"
"Test cases for TestResources_GetSearchResult_ETAC","36","TestResources_GetSearchResult_ETAC","","Tue Jul 21 23:29:42 UTC 2026","passed","Tue Jul 21 23:29:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetSearchResult_ETAC","TestResources_GetSearchResult_ETAC"
"","1","EXTENDED ROUNDING when thresholds are set: returns a comma separated number when provided with a number > 999","numberFormatting","Tue Jul 21 23:26:36 UTC 2026","passed","Tue Jul 21 23:26:36 UTC 2026","","","",""
"Test cases for TestService_CreateRequest","0","TestService_CreateRequest","","Tue Jul 21 23:30:11 UTC 2026","passed","Tue Jul 21 23:30:11 UTC 2026","","Go Test","github.com/specterops/bloodhound/server/analysis/internal/services/TestService_CreateRequest","TestService_CreateRequest"
"Test cases for Test_getSearchableNodeKinds","0","Test_getSearchableNodeKinds","","Tue Jul 21 23:29:42 UTC 2026","passed","Tue Jul 21 23:29:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_getSearchableNodeKinds","Test_getSearchableNodeKinds"
"Test cases for TestResources_ListADGroupSessions","2","TestResources_ListADGroupSessions","","Tue Jul 21 23:29:42 UTC 2026","passed","Tue Jul 21 23:29:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADGroupSessions","TestResources_ListADGroupSessions"
