"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","220","renders the form for editing an existing zone","Tag Form","Thu Jun 18 00:42:57 UTC 2026","passed","Thu Jun 18 00:42:57 UTC 2026","","","",""
"","118","renders the Zone/Labels Tab content when first tab is chosen","Selected Details Tab Content","Thu Jun 18 00:47:29 UTC 2026","passed","Thu Jun 18 00:47:29 UTC 2026","","","",""
"Test cases for TestResources_GetAssetGroupTagMemberInfo","0","TestResources_GetAssetGroupTagMemberInfo","","Thu Jun 18 00:42:00 UTC 2026","passed","Thu Jun 18 00:42:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAssetGroupTagMemberInfo","TestResources_GetAssetGroupTagMemberInfo"
"","59","hides loading state when data is available","GraphDataCheckboxes","Thu Jun 18 00:44:17 UTC 2026","passed","Thu Jun 18 00:44:17 UTC 2026","","","",""
"","51","renders the title","ProcessingIndicator","Thu Jun 18 00:48:24 UTC 2026","passed","Thu Jun 18 00:48:24 UTC 2026","","","",""
"Test cases for TestTimeFrom","0","TestTimeFrom","","Thu Jun 18 00:42:04 UTC 2026","passed","Thu Jun 18 00:42:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTimeFrom","TestTimeFrom"
"Test cases for TestResources_UpdateAssetGroupTagSelector","1","TestResources_UpdateAssetGroupTagSelector","","Thu Jun 18 00:42:00 UTC 2026","passed","Thu Jun 18 00:42:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateAssetGroupTagSelector","TestResources_UpdateAssetGroupTagSelector"
"","48","will request feature-flags when the user is fully authenticated","app","Thu Jun 18 00:49:23 UTC 2026","passed","Thu Jun 18 00:49:23 UTC 2026","","<Inner />","",""
"Test cases for TestParseSkipQueryParameter_Invalid","0","TestParseSkipQueryParameter_Invalid","","Thu Jun 18 00:42:00 UTC 2026","passed","Thu Jun 18 00:42:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestParseSkipQueryParameter_Invalid","TestParseSkipQueryParameter_Invalid"
"Test cases for TestResources_DeleteAssetGroup","0","TestResources_DeleteAssetGroup","","Thu Jun 18 00:42:00 UTC 2026","passed","Thu Jun 18 00:42:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteAssetGroup","TestResources_DeleteAssetGroup"
"","11","does not request finished jobs if lacking permission","useFinishedJobs","Thu Jun 18 00:45:39 UTC 2026","passed","Thu Jun 18 00:45:39 UTC 2026","","","",""
"","3","returns null if paramValue is +0","useEnvironmentParams","Thu Jun 18 00:48:20 UTC 2026","passed","Thu Jun 18 00:48:20 UTC 2026","","parseEnvironmentAggregation","",""
"Test cases for TestResources_UpdateSavedQuery_InvalidID","0","TestResources_UpdateSavedQuery_InvalidID","","Thu Jun 18 00:42:00 UTC 2026","passed","Thu Jun 18 00:42:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_InvalidID","TestResources_UpdateSavedQuery_InvalidID"
"","0","isError returns as expected based on all queries combined","queriesAreLoadingOrErrored","Thu Jun 18 00:48:21 UTC 2026","passed","Thu Jun 18 00:48:21 UTC 2026","","","",""
"Test cases for TestResources_GetFlags","0","TestResources_GetFlags","","Thu Jun 18 00:42:00 UTC 2026","passed","Thu Jun 18 00:42:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetFlags","TestResources_GetFlags"
"Test cases for TestFloatValueOrZero","0","TestFloatValueOrZero","","Thu Jun 18 00:42:04 UTC 2026","passed","Thu Jun 18 00:42:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestFloatValueOrZero","TestFloatValueOrZero"
"","768","lists all available node kinds as options to filter by","AssetGroupEdit","Thu Jun 18 00:45:09 UTC 2026","passed","Thu Jun 18 00:45:10 UTC 2026","","Node Type dropdown filter","",""
"","225","calls onResetColumnSize when ""Reset Size"" is clicked","ManageColumnsComboBox","Thu Jun 18 00:44:59 UTC 2026","passed","Thu Jun 18 00:44:59 UTC 2026","","","",""
"Test cases for TestManagementResource_DeleteUser_UserNotFound","0","TestManagementResource_DeleteUser_UserNotFound","","Thu Jun 18 00:42:22 UTC 2026","passed","Thu Jun 18 00:42:22 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteUser_UserNotFound","TestManagementResource_DeleteUser_UserNotFound"
"Test cases for TestManagementResource_UpdateSAMLProviderRequest","19","TestManagementResource_UpdateSAMLProviderRequest","","Thu Jun 18 00:42:40 UTC 2026","passed","Thu Jun 18 00:42:40 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_UpdateSAMLProviderRequest","TestManagementResource_UpdateSAMLProviderRequest"
"Test cases for TestManagementResource_DeleteUser_BadUserID","1","TestManagementResource_DeleteUser_BadUserID","","Thu Jun 18 00:42:22 UTC 2026","passed","Thu Jun 18 00:42:22 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteUser_BadUserID","TestManagementResource_DeleteUser_BadUserID"
"","112","requests finished jobs","useFinishedJobs","Thu Jun 18 00:45:39 UTC 2026","passed","Thu Jun 18 00:45:39 UTC 2026","","","",""
"Test cases for TestDomainSelectors_GetValidFilterPredicatesAsStrings","0","TestDomainSelectors_GetValidFilterPredicatesAsStrings","","Thu Jun 18 00:42:04 UTC 2026","passed","Thu Jun 18 00:42:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestDomainSelectors_GetValidFilterPredicatesAsStrings","TestDomainSelectors_GetValidFilterPredicatesAsStrings"
"","82","sets primarySearch, searchType, exploreSearchTab in URL params when the click handler is executed","useEdgeInfoItems","Thu Jun 18 00:46:30 UTC 2026","passed","Thu Jun 18 00:46:30 UTC 2026","","","",""
