"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestIngestControl_writeRetainedFileToTar","10","TestIngestControl_writeRetainedFileToTar","","Wed Jul 22 18:41:57 UTC 2026","passed","Wed Jul 22 18:41:57 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/tools/TestIngestControl_writeRetainedFileToTar","TestIngestControl_writeRetainedFileToTar"
"Test cases for TestFileServiceResolver_Resolve","5","TestFileServiceResolver_Resolve","","Wed Jul 22 18:42:17 UTC 2026","passed","Wed Jul 22 18:42:17 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/storage/TestFileServiceResolver_Resolve","TestFileServiceResolver_Resolve"
"Test cases for TestCreateUser_Failure","0","TestCreateUser_Failure","","Wed Jul 22 18:42:11 UTC 2026","passed","Wed Jul 22 18:42:11 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestCreateUser_Failure","TestCreateUser_Failure"
"Test cases for TestQueryParameterFilterParser_ParseQueryParameterFilter","0","TestQueryParameterFilterParser_ParseQueryParameterFilter","","Wed Jul 22 18:42:09 UTC 2026","passed","Wed Jul 22 18:42:09 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestQueryParameterFilterParser_ParseQueryParameterFilter","TestQueryParameterFilterParser_ParseQueryParameterFilter"
"","0","Will treat what is to the left of the first colon as a search filter if it matches an existing kind","parseKeywordAndTypeValue","Wed Jul 22 18:48:26 UTC 2026","passed","Wed Jul 22 18:48:26 UTC 2026","","","",""
"","24","should redirect to nested /file-ingest route if user navigates to an invalid route","Administration","Wed Jul 22 18:49:50 UTC 2026","passed","Wed Jul 22 18:49:50 UTC 2026","","","",""
"","65","Validate Displays all the Roles","useListDisplayRoles","Wed Jul 22 18:44:57 UTC 2026","passed","Wed Jul 22 18:44:57 UTC 2026","","","",""
"","322","sets a primarySearch=id and searchType=node when secondarySearch is falsey","ContextMenu","Wed Jul 22 18:44:57 UTC 2026","passed","Wed Jul 22 18:44:57 UTC 2026","","","",""
"","646","has status filters","FileIngestFilterDialog","Wed Jul 22 18:44:49 UTC 2026","passed","Wed Jul 22 18:44:49 UTC 2026","","Status Select","",""
"","15","sets autoDisplayTable to false if query type is pathfinding","useExploreTableAutoDisplay","Wed Jul 22 18:47:19 UTC 2026","passed","Wed Jul 22 18:47:19 UTC 2026","","","",""
"Test cases for TestHandleDatabaseError","0","TestHandleDatabaseError","","Wed Jul 22 18:41:54 UTC 2026","passed","Wed Jul 22 18:41:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestHandleDatabaseError","TestHandleDatabaseError"
"Test cases for TestQueries_GetEntityObjectIDFromRequestPath","0","TestQueries_GetEntityObjectIDFromRequestPath","","Wed Jul 22 18:42:11 UTC 2026","passed","Wed Jul 22 18:42:11 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/TestQueries_GetEntityObjectIDFromRequestPath","TestQueries_GetEntityObjectIDFromRequestPath"
"Test cases for TestNewService","0","TestNewService","","Wed Jul 22 18:42:34 UTC 2026","passed","Wed Jul 22 18:42:34 UTC 2026","","Go Test","github.com/specterops/bloodhound/server/etac/internal/services/TestNewService","TestNewService"
"","476","toggles parent from none to all","GraphDataCheckboxes","Wed Jul 22 18:44:25 UTC 2026","passed","Wed Jul 22 18:44:25 UTC 2026","","","",""
"","41","renders a button when actor is not BloodHoundString and note exists","NoteCell component","Wed Jul 22 18:47:02 UTC 2026","passed","Wed Jul 22 18:47:02 UTC 2026","","","",""
"Test cases for TestParseUserIP_RemoteAddrOnly","0","TestParseUserIP_RemoteAddrOnly","","Wed Jul 22 18:41:56 UTC 2026","passed","Wed Jul 22 18:41:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestParseUserIP_RemoteAddrOnly","TestParseUserIP_RemoteAddrOnly"
"Test cases for TestPermissionsCheckAll","2","TestPermissionsCheckAll","","Wed Jul 22 18:41:56 UTC 2026","passed","Wed Jul 22 18:41:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestPermissionsCheckAll","TestPermissionsCheckAll"
"Test cases for TestResources_GetUserEntityInfo","0","TestResources_GetUserEntityInfo","","Wed Jul 22 18:42:05 UTC 2026","passed","Wed Jul 22 18:42:05 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetUserEntityInfo","TestResources_GetUserEntityInfo"
"","97","sorts by title as secondary key when positions are equal","KindInfoItems","Wed Jul 22 18:45:41 UTC 2026","passed","Wed Jul 22 18:45:41 UTC 2026","","","",""
"","0","returns null if paramValue is null","useEnvironmentParams","Wed Jul 22 18:48:39 UTC 2026","passed","Wed Jul 22 18:48:39 UTC 2026","","parseEnvironmentAggregation","",""
"Test cases for TestParseHeaderValues","0","TestParseHeaderValues","","Wed Jul 22 18:41:56 UTC 2026","passed","Wed Jul 22 18:41:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestParseHeaderValues","TestParseHeaderValues"
"Test cases for TestHandlers_GetRelationshipByID","3","TestHandlers_GetRelationshipByID","","Wed Jul 22 18:42:40 UTC 2026","passed","Wed Jul 22 18:42:40 UTC 2026","","Go Test","github.com/specterops/bloodhound/server/graphdb/internal/handlers/TestHandlers_GetRelationshipByID","TestHandlers_GetRelationshipByID"
"","306","opens confirmation dialog when delete button is clicked","ActiveExtensionsCard","Wed Jul 22 18:43:31 UTC 2026","passed","Wed Jul 22 18:43:31 UTC 2026","","","",""
"Test cases for Test_parseAuthorizationHeader","0","Test_parseAuthorizationHeader","","Wed Jul 22 18:41:56 UTC 2026","passed","Wed Jul 22 18:41:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/Test_parseAuthorizationHeader","Test_parseAuthorizationHeader"
"Test cases for TestParseOptionalBool","0","TestParseOptionalBool","","Wed Jul 22 18:41:54 UTC 2026","passed","Wed Jul 22 18:41:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestParseOptionalBool","TestParseOptionalBool"
"Test cases for TestTimeExactEqual","0","TestTimeExactEqual","","Wed Jul 22 18:42:08 UTC 2026","passed","Wed Jul 22 18:42:08 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTimeExactEqual","TestTimeExactEqual"
"Test cases for Test_signedRequestDate","0","Test_signedRequestDate","","Wed Jul 22 18:41:56 UTC 2026","passed","Wed Jul 22 18:41:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/Test_signedRequestDate","Test_signedRequestDate"
"","396","renders the Import Query Dialog","ImportQueryDialog","Wed Jul 22 18:48:30 UTC 2026","passed","Wed Jul 22 18:48:31 UTC 2026","","","",""
"Test cases for TestStringFromPtr","0","TestStringFromPtr","","Wed Jul 22 18:42:08 UTC 2026","passed","Wed Jul 22 18:42:08 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestStringFromPtr","TestStringFromPtr"
