"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestParseIntQueryParameter","52","TestParseIntQueryParameter","","Wed Jul 08 00:41:56 UTC 2026","passed","Wed Jul 08 00:41:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestParseIntQueryParameter","TestParseIntQueryParameter"
"Test cases for TestConvertAzureResourceGroupContributorToRels","0","TestConvertAzureResourceGroupContributorToRels","","Wed Jul 08 00:42:22 UTC 2026","passed","Wed Jul 08 00:42:22 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestConvertAzureResourceGroupContributorToRels","TestConvertAzureResourceGroupContributorToRels"
"Test cases for TestManagementResource_GetRole","43172","TestManagementResource_GetRole","","Wed Jul 08 00:42:02 UTC 2026","passed","Wed Jul 08 00:42:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_GetRole","TestManagementResource_GetRole"
"Test cases for TestResources_DeleteSavedQuery_PublicQueryAndUserIsAdmin","0","TestResources_DeleteSavedQuery_PublicQueryAndUserIsAdmin","","Wed Jul 08 00:41:56 UTC 2026","passed","Wed Jul 08 00:41:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQuery_PublicQueryAndUserIsAdmin","TestResources_DeleteSavedQuery_PublicQueryAndUserIsAdmin"
"Test cases for TestService_GetNode","0","TestService_GetNode","","Wed Jul 08 00:42:51 UTC 2026","passed","Wed Jul 08 00:42:51 UTC 2026","","Go Test","github.com/specterops/bloodhound/server/graphdb/internal/services/TestService_GetNode","TestService_GetNode"
"Test cases for TestRateLimitMiddleware","4","TestRateLimitMiddleware","","Wed Jul 08 00:41:48 UTC 2026","passed","Wed Jul 08 00:41:48 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestRateLimitMiddleware","TestRateLimitMiddleware"
"","47","displays a status indicator","StatusIndicator","Wed Jul 08 00:48:27 UTC 2026","passed","Wed Jul 08 00:48:28 UTC 2026","","","",""
"","111","button displays ""Enabled"" when flag is enabled","EarlyAccessFeatureToggle","Wed Jul 08 00:49:45 UTC 2026","passed","Wed Jul 08 00:49:45 UTC 2026","","","",""
"Test cases for TestMapExistsError","29","TestMapExistsError","","Wed Jul 08 00:42:44 UTC 2026","passed","Wed Jul 08 00:42:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/storage/TestMapExistsError","TestMapExistsError"
"","776","dark mode should persist between logging in and out","redux store","Wed Jul 08 00:49:46 UTC 2026","passed","Wed Jul 08 00:49:47 UTC 2026","","","",""
"Test cases for TestSelectGPOContainerCandidateFilter","0","TestSelectGPOContainerCandidateFilter","","Wed Jul 08 00:42:21 UTC 2026","passed","Wed Jul 08 00:42:21 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/TestSelectGPOContainerCandidateFilter","TestSelectGPOContainerCandidateFilter"
"Test cases for TestLocalStore_Copy","44","TestLocalStore_Copy","","Wed Jul 08 00:42:44 UTC 2026","passed","Wed Jul 08 00:42:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/storage/TestLocalStore_Copy","TestLocalStore_Copy"
"","23","when user has a disallowed role for a route with disallowed roles, they see the disallowed notification.","AuthenticatedRoute","Wed Jul 08 00:49:33 UTC 2026","passed","Wed Jul 08 00:49:33 UTC 2026","","","",""
"Test cases for TestBuildErrorResponseUnauthorized","1","TestBuildErrorResponseUnauthorized","","Wed Jul 08 00:41:44 UTC 2026","passed","Wed Jul 08 00:41:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestBuildErrorResponseUnauthorized","TestBuildErrorResponseUnauthorized"
"Test cases for TestHandlers_GetRequest","3","TestHandlers_GetRequest","","Wed Jul 08 00:42:46 UTC 2026","passed","Wed Jul 08 00:42:46 UTC 2026","","Go Test","github.com/specterops/bloodhound/server/analysis/internal/handlers/TestHandlers_GetRequest","TestHandlers_GetRequest"
"Test cases for Test_ConvertAppFederatedIdentityCredential","0","Test_ConvertAppFederatedIdentityCredential","","Wed Jul 08 00:42:22 UTC 2026","passed","Wed Jul 08 00:42:22 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/ein/Test_ConvertAppFederatedIdentityCredential","Test_ConvertAppFederatedIdentityCredential"
"Test cases for TestRequestWaitDuration","0","TestRequestWaitDuration","","Wed Jul 08 00:41:48 UTC 2026","passed","Wed Jul 08 00:41:48 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestRequestWaitDuration","TestRequestWaitDuration"
"","177","calls onClick when toggle button clicked","EarlyAccessFeatureToggle","Wed Jul 08 00:49:45 UTC 2026","passed","Wed Jul 08 00:49:46 UTC 2026","","","",""
"Test cases for TestResources_UpdateSavedQuery_NotAUserAuth","3","TestResources_UpdateSavedQuery_NotAUserAuth","","Wed Jul 08 00:41:56 UTC 2026","passed","Wed Jul 08 00:41:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_NotAUserAuth","TestResources_UpdateSavedQuery_NotAUserAuth"
"Test cases for TestAnalysisStepsMerge","6","TestAnalysisStepsMerge","","Wed Jul 08 00:42:02 UTC 2026","passed","Wed Jul 08 00:42:02 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestAnalysisStepsMerge","TestAnalysisStepsMerge"
"Test cases for TestCache_Reset","0","TestCache_Reset","","Wed Jul 08 00:42:22 UTC 2026","passed","Wed Jul 08 00:42:22 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/cache/TestCache_Reset","TestCache_Reset"
"","75","should hide Environmental Targeted Access Control panel when showEnvironmentAccessControls prop is false","CreateUserForm","Wed Jul 08 00:43:38 UTC 2026","passed","Wed Jul 08 00:43:38 UTC 2026","","","",""
"","167","should display the ""My Profile"" title","UserProfile","Wed Jul 08 00:45:28 UTC 2026","passed","Wed Jul 08 00:45:28 UTC 2026","","","",""
"","1","filters by azure platform","filterAndSearchEnvironments","Wed Jul 08 00:43:22 UTC 2026","passed","Wed Jul 08 00:43:22 UTC 2026","","platform filters","",""
"","6","displays a pulsing indicator","StatusIndicator","Wed Jul 08 00:48:28 UTC 2026","passed","Wed Jul 08 00:48:28 UTC 2026","","","",""
