"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","272","sets a primarySearch=id and searchType=node when secondarySearch is falsey","ContextMenu","Wed Mar 25 18:48:24 UTC 2026","passed","Wed Mar 25 18:48:24 UTC 2026","","","",""
"","9","does not render highlight for non-active tag","SelectedHighlight","Wed Mar 25 18:46:53 UTC 2026","passed","Wed Mar 25 18:46:53 UTC 2026","","","",""
"","694","should render a SaveQueryDialog","SaveQueryDialog","Wed Mar 25 18:43:07 UTC 2026","passed","Wed Mar 25 18:43:08 UTC 2026","","","",""
"","80","renders enabled prop when flag is enabled","FeatureFlag","Wed Mar 25 18:46:38 UTC 2026","passed","Wed Mar 25 18:46:38 UTC 2026","","","",""
"Test cases for TestCacheEntryDigester_DigestEndpoint_MatchByName","0","TestCacheEntryDigester_DigestEndpoint_MatchByName","","Wed Mar 25 18:42:12 UTC 2026","passed","Wed Mar 25 18:42:12 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/graphify/endpoint/TestCacheEntryDigester_DigestEndpoint_MatchByName","TestCacheEntryDigester_DigestEndpoint_MatchByName"
"","340","renders total rules and accordion sections","RulesAccordion","Wed Mar 25 18:45:47 UTC 2026","passed","Wed Mar 25 18:45:47 UTC 2026","","","",""
"","0","returns true if value is ''","searchParams","Wed Mar 25 18:46:14 UTC 2026","passed","Wed Mar 25 18:46:14 UTC 2026","","isEmptyParam","",""
"Test cases for TestResources_ListADDomainContainedGroups","0","TestResources_ListADDomainContainedGroups","","Wed Mar 25 18:42:06 UTC 2026","passed","Wed Mar 25 18:42:06 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainContainedGroups","TestResources_ListADDomainContainedGroups"
"","40","sets input text to value","ManagedDatePicker - value","Wed Mar 25 18:45:28 UTC 2026","passed","Wed Mar 25 18:45:28 UTC 2026","","","",""
"Test cases for TestConvertComputerToNode","0","TestConvertComputerToNode","","Wed Mar 25 18:42:21 UTC 2026","passed","Wed Mar 25 18:42:21 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestConvertComputerToNode","TestConvertComputerToNode"
"Test cases for TestResources_GetAssetGroupTagSelectors","1","TestResources_GetAssetGroupTagSelectors","","Wed Mar 25 18:42:06 UTC 2026","passed","Wed Mar 25 18:42:06 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAssetGroupTagSelectors","TestResources_GetAssetGroupTagSelectors"
"","2","returns true when WebGL is available in the current browser context","WebGL compatibility check","Wed Mar 25 18:47:55 UTC 2026","passed","Wed Mar 25 18:47:55 UTC 2026","","","",""
"","159","should display","GenericErrorBoundaryFallback","Wed Mar 25 18:47:52 UTC 2026","passed","Wed Mar 25 18:47:52 UTC 2026","","","",""
"","7","renders without pulse animation by default","StatusIndicator","Wed Mar 25 18:47:39 UTC 2026","passed","Wed Mar 25 18:47:39 UTC 2026","","","",""
"","2","Default label and sizing are used when graph of origin does not specify","copySigmaNodesToGraphlibGraph","Wed Mar 25 18:48:45 UTC 2026","passed","Wed Mar 25 18:48:45 UTC 2026","","","",""
"Test cases for TestQueries_BuildEntityQueryParams_MissingObjectID","0","TestQueries_BuildEntityQueryParams_MissingObjectID","","Wed Mar 25 18:42:10 UTC 2026","passed","Wed Mar 25 18:42:10 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/TestQueries_BuildEntityQueryParams_MissingObjectID","TestQueries_BuildEntityQueryParams_MissingObjectID"
