"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","130","passes check if the user has a required permission","usePermissions","Fri Feb 13 06:44:24 UTC 2026","passed","Fri Feb 13 06:44:24 UTC 2026","","","",""
"","1006","renders a table if the query has NO node edges","GraphView","Fri Feb 13 06:48:15 UTC 2026","passed","Fri Feb 13 06:48:16 UTC 2026","","","",""
"Test cases for TestHandleDatabaseErrorNotFound","0","TestHandleDatabaseErrorNotFound","","Fri Feb 13 06:42:19 UTC 2026","passed","Fri Feb 13 06:42:19 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestHandleDatabaseErrorNotFound","TestHandleDatabaseErrorNotFound"
"","33","renders a preview version by default","PrivilegeZonesCypherEditor Search component for Zone Management","Fri Feb 13 06:46:27 UTC 2026","passed","Fri Feb 13 06:46:27 UTC 2026","","","",""
"Test cases for TestResources_UpdateSavedQuery_InvalidBody","0","TestResources_UpdateSavedQuery_InvalidBody","","Fri Feb 13 06:42:32 UTC 2026","passed","Fri Feb 13 06:42:32 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_InvalidBody","TestResources_UpdateSavedQuery_InvalidBody"
"","240","renders with the Export and Delete buttons disabled","QuerySearchFilter","Fri Feb 13 06:45:41 UTC 2026","passed","Fri Feb 13 06:45:41 UTC 2026","","","",""
"","11","upon performing a search, updates the url params with the base64-encoded current query and sets searchType to 'cypher'","useCypherSearch","Fri Feb 13 06:47:07 UTC 2026","passed","Fri Feb 13 06:47:07 UTC 2026","","","",""
"","32","tag members refetches on sort change","the useAssetGroupTags utilities","Fri Feb 13 06:44:06 UTC 2026","passed","Fri Feb 13 06:44:06 UTC 2026","","","",""
"","846","executes a primary search when only a source node is provided","Pathfinding: interaction","Fri Feb 13 06:44:52 UTC 2026","passed","Fri Feb 13 06:44:53 UTC 2026","","","",""
"Test cases for TestBuildErrorResponseUnauthorized","0","TestBuildErrorResponseUnauthorized","","Fri Feb 13 06:42:19 UTC 2026","passed","Fri Feb 13 06:42:19 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestBuildErrorResponseUnauthorized","TestBuildErrorResponseUnauthorized"
"","0","should compute offset vertices for bezier curves at a given intersection","bezier","Fri Feb 13 06:48:20 UTC 2026","passed","Fri Feb 13 06:48:20 UTC 2026","","","",""
"Test cases for TestConvertDomainToNode_InheritanceHashes","0","TestConvertDomainToNode_InheritanceHashes","","Fri Feb 13 06:43:02 UTC 2026","passed","Fri Feb 13 06:43:02 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestConvertDomainToNode_InheritanceHashes","TestConvertDomainToNode_InheritanceHashes"
"Test cases for TestResources_ListADDomainContainedUsers","0","TestResources_ListADDomainContainedUsers","","Fri Feb 13 06:42:32 UTC 2026","passed","Fri Feb 13 06:42:32 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainContainedUsers","TestResources_ListADDomainContainedUsers"
"","0","returns false if value is {}","searchParams","Fri Feb 13 06:46:04 UTC 2026","passed","Fri Feb 13 06:46:04 UTC 2026","","isEmptyParam","",""
"","126","displays active styles for the selected layout when explore table is enabled","GraphControls","Fri Feb 13 06:43:58 UTC 2026","passed","Fri Feb 13 06:43:58 UTC 2026","","Selecting a layout","",""
"Test cases for TestAddWhereClauseToNeo4jQuery_NoWhereClause","0","TestAddWhereClauseToNeo4jQuery_NoWhereClause","","Fri Feb 13 06:42:32 UTC 2026","passed","Fri Feb 13 06:42:32 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestAddWhereClauseToNeo4jQuery_NoWhereClause","TestAddWhereClauseToNeo4jQuery_NoWhereClause"
"","85","renders the analysis toggle when multi tier analysis enabled is true and when editing an existing zone","Tag Form","Fri Feb 13 06:43:19 UTC 2026","passed","Fri Feb 13 06:43:19 UTC 2026","","","",""
