"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","upon selecting a source and destination node, updates the URL with a searchType of 'pathfinding' and the object ids for the source and destination nodes","usePathfindingSearch","Tue Jul 21 00:45:09 UTC 2026","passed","Tue Jul 21 00:45:10 UTC 2026","","","",""
"Test cases for TestResources_ListCAPKIHierarchy","0","TestResources_ListCAPKIHierarchy","","Tue Jul 21 00:42:05 UTC 2026","passed","Tue Jul 21 00:42:05 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListCAPKIHierarchy","TestResources_ListCAPKIHierarchy"
"Test cases for TestWriteBasic","0","TestWriteBasic","","Tue Jul 21 00:42:24 UTC 2026","passed","Tue Jul 21 00:42:24 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/responses/TestWriteBasic","TestWriteBasic"
"","43","is not overwritten when node properties contain an id field","useExploreTableRowsAndColumns","Tue Jul 21 00:47:12 UTC 2026","passed","Tue Jul 21 00:47:12 UTC 2026","","bhGraphId","",""
"","0","handles an empty string","escapeCypherString","Tue Jul 21 00:47:13 UTC 2026","passed","Tue Jul 21 00:47:13 UTC 2026","","","",""
"","216","shows a loading state","AssetGroupMenuItem","Tue Jul 21 00:44:46 UTC 2026","passed","Tue Jul 21 00:44:46 UTC 2026","","","",""
"Test cases for TestResources_ListADDomainContainedComputers","0","TestResources_ListADDomainContainedComputers","","Tue Jul 21 00:42:05 UTC 2026","passed","Tue Jul 21 00:42:05 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainContainedComputers","TestResources_ListADDomainContainedComputers"
"Test cases for TestResources_CreateAssetGroupTagSelector","1","TestResources_CreateAssetGroupTagSelector","","Tue Jul 21 00:42:05 UTC 2026","passed","Tue Jul 21 00:42:05 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_CreateAssetGroupTagSelector","TestResources_CreateAssetGroupTagSelector"
"","0","falls back to the default Cypher message when ruleType is undefined and seeds are required","handleError","Tue Jul 21 00:44:12 UTC 2026","passed","Tue Jul 21 00:44:12 UTC 2026","","","",""
"","10","renders highlight only for active member when memberId is present","SelectedHighlight","Tue Jul 21 00:46:31 UTC 2026","passed","Tue Jul 21 00:46:31 UTC 2026","","","",""
"","222","sets a primarySearch=id and searchType=node when secondarySearch is falsey","ContextMenu","Tue Jul 21 00:44:26 UTC 2026","passed","Tue Jul 21 00:44:26 UTC 2026","","","",""
"","166","should not call onSubmit when input is invalid and Submit button is clicked","UpsertSAMLProviderForm","Tue Jul 21 00:46:18 UTC 2026","passed","Tue Jul 21 00:46:18 UTC 2026","","","",""
"Test cases for TestOrphanFileSweeper_AddExpectedLocalPath","21","TestOrphanFileSweeper_AddExpectedLocalPath","","Tue Jul 21 00:42:08 UTC 2026","passed","Tue Jul 21 00:42:08 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/datapipe/TestOrphanFileSweeper_AddExpectedLocalPath","TestOrphanFileSweeper_AddExpectedLocalPath"
"","1524","does not show the ""Disable MFA"" context menu option for users without MFA enabled","Users","Tue Jul 21 00:44:20 UTC 2026","passed","Tue Jul 21 00:44:21 UTC 2026","","","",""
"","53","should render a navigation list item","MainNav","Tue Jul 21 00:44:56 UTC 2026","passed","Tue Jul 21 00:44:56 UTC 2026","","","",""
"Test cases for TestManagementResource_GetSAMLProvider","4","TestManagementResource_GetSAMLProvider","","Tue Jul 21 00:42:44 UTC 2026","passed","Tue Jul 21 00:42:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_GetSAMLProvider","TestManagementResource_GetSAMLProvider"
"","584","should render an update user form","UpdateUserDialog","Tue Jul 21 00:43:57 UTC 2026","passed","Tue Jul 21 00:43:58 UTC 2026","","","",""
"","2158","should render expand all and collapse all buttons","Pathfinding","Tue Jul 21 00:43:21 UTC 2026","passed","Tue Jul 21 00:43:24 UTC 2026","","","",""
"","240","should render a TagToZoneLabelDialog component","TagToZoneLabelDialog","Tue Jul 21 00:45:30 UTC 2026","passed","Tue Jul 21 00:45:31 UTC 2026","","","",""
"","102","shows the direct object and expanded object list when results are present for both","Seed Selection Results","Tue Jul 21 00:44:31 UTC 2026","passed","Tue Jul 21 00:44:31 UTC 2026","","","",""
"","196","displays 0 when a given sections returns empty, and sums the rest of the sections correctly","EntityInfoDataTableGraphed","Tue Jul 21 00:44:51 UTC 2026","passed","Tue Jul 21 00:44:51 UTC 2026","","Node count for nested table that counts all sections","",""
"","0","should compute offset vertices for bezier curves at a given intersection","bezier","Tue Jul 21 00:48:02 UTC 2026","passed","Tue Jul 21 00:48:02 UTC 2026","","","",""
"Test cases for TestManagementResource_ListUsers","0","TestManagementResource_ListUsers","","Tue Jul 21 00:42:11 UTC 2026","passed","Tue Jul 21 00:42:11 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListUsers","TestManagementResource_ListUsers"
"","247","should disable Cancel and Save buttons while isLoading is true","UpdateUserDialog","Tue Jul 21 00:44:00 UTC 2026","passed","Tue Jul 21 00:44:00 UTC 2026","","","",""
"Test cases for Test_FixtureSetup","0","Test_FixtureSetup","","Tue Jul 21 00:42:22 UTC 2026","passed","Tue Jul 21 00:42:22 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/lab/Test_FixtureSetup","Test_FixtureSetup"
"","46","does not fetch when no id is provided","useGetNodeById","Tue Jul 21 00:45:03 UTC 2026","passed","Tue Jul 21 00:45:03 UTC 2026","","","",""
"","0","handles specific Active Directory properties differently than Azure derived properties","Formatting number properties","Tue Jul 21 00:44:33 UTC 2026","passed","Tue Jul 21 00:44:33 UTC 2026","","","",""
"","61","enables pulling an ordered list of tags by position ascending","the useAssetGroupTags utilities","Tue Jul 21 00:44:30 UTC 2026","passed","Tue Jul 21 00:44:31 UTC 2026","","","",""
"Test cases for TestResources_SearchHandler","0","TestResources_SearchHandler","","Tue Jul 21 00:42:05 UTC 2026","passed","Tue Jul 21 00:42:05 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_SearchHandler","TestResources_SearchHandler"
"Test cases for TestMap","0","TestMap","","Tue Jul 21 00:42:22 UTC 2026","passed","Tue Jul 21 00:42:22 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/lab/internal/TestMap","TestMap"
"Test cases for TestFloatSetValid","0","TestFloatSetValid","","Tue Jul 21 00:42:10 UTC 2026","passed","Tue Jul 21 00:42:10 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestFloatSetValid","TestFloatSetValid"
"","18","should render when search string matches text entirely","HighlightedText","Tue Jul 21 00:46:37 UTC 2026","passed","Tue Jul 21 00:46:37 UTC 2026","","","",""
"","425","handles a selection as expected","DropdownSelector","Tue Jul 21 00:46:11 UTC 2026","passed","Tue Jul 21 00:46:12 UTC 2026","","","",""
