"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","169","a name value is required to submit the form","Tag Form","Fri Mar 13 00:42:52 UTC 2026","passed","Fri Mar 13 00:42:53 UTC 2026","","","",""
"","2","returns the node_keys from the graphData with duplicate keys removed and known keys added","getExploreTableData","Fri Mar 13 00:45:18 UTC 2026","passed","Fri Mar 13 00:45:18 UTC 2026","","","",""
"Test cases for TestGetLimitParamForGraphQuery","0","TestGetLimitParamForGraphQuery","","Fri Mar 13 00:42:13 UTC 2026","passed","Fri Mar 13 00:42:13 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestGetLimitParamForGraphQuery","TestGetLimitParamForGraphQuery"
"","11","disables useAvailableEnvironment and does not attempt calling handleInitialEnvironment if queryOptions.enabled","useInitialEnvironment","Fri Mar 13 00:46:12 UTC 2026","passed","Fri Mar 13 00:46:12 UTC 2026","","","",""
"","0","The data is fetching","Getting the text for the disabled item display for a search when there are no results","Fri Mar 13 00:45:21 UTC 2026","passed","Fri Mar 13 00:45:21 UTC 2026","","Loading states","",""
"Test cases for TestFloatValueOrZero","0","TestFloatValueOrZero","","Fri Mar 13 00:41:56 UTC 2026","passed","Fri Mar 13 00:41:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestFloatValueOrZero","TestFloatValueOrZero"
"","217","toggles parent from some to all","SourceKindsCheckboxes","Fri Mar 13 00:44:38 UTC 2026","passed","Fri Mar 13 00:44:38 UTC 2026","","","",""
"Test cases for TestQueries_BuildEntityQueryParams_MissingObjectID","0","TestQueries_BuildEntityQueryParams_MissingObjectID","","Fri Mar 13 00:42:00 UTC 2026","passed","Fri Mar 13 00:42:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/TestQueries_BuildEntityQueryParams_MissingObjectID","TestQueries_BuildEntityQueryParams_MissingObjectID"
"","857","displays correct content based on platform filter Azure","CommonSearches","Fri Mar 13 00:43:50 UTC 2026","passed","Fri Mar 13 00:43:51 UTC 2026","","","",""
"","8","populates the cypher search field with the decoded query when the associated query params are set","useCypherSearch","Fri Mar 13 00:46:56 UTC 2026","passed","Fri Mar 13 00:46:57 UTC 2026","","","",""
"","278","renders a snackbar notification in the dom and tests autoHideDuration","AppNotifications","Fri Mar 13 00:46:06 UTC 2026","passed","Fri Mar 13 00:46:06 UTC 2026","","","",""
"","0","should handle an entity that has no name property","Evaluating the entity display name from a given entity","Fri Mar 13 00:43:54 UTC 2026","passed","Fri Mar 13 00:43:54 UTC 2026","","","",""
"","59","excludes API edges that are associated with one of our built-in schema types","useEdgeCategories","Fri Mar 13 00:44:02 UTC 2026","passed","Fri Mar 13 00:44:02 UTC 2026","","","",""
"","140","should display api key management button","Api Keys","Fri Mar 13 00:44:09 UTC 2026","passed","Fri Mar 13 00:44:10 UTC 2026","","","",""
